Accel_x,Accel_y,Accel_z
0.524,-0.449,0.737
0.56,-0.445,0.736
0.57,-0.433,0.739
0.591,-0.435,0.745
0.611,-0.448,0.744
0.624,-0.463,0.747
0.645,-0.476,0.751
0.651,-0.486,0.765
0.662,-0.489,0.78
0.655,-0.492,0.779
0.643,-0.492,0.768
0.633,-0.487,0.779
0.613,-0.498,0.804
0.592,-0.505,0.804
0.561,-0.518,0.83
0.543,-0.576,0.836
0.488,-0.597,0.829
0.436,-0.632,0.827
0.416,-0.661,0.814
0.402,-0.666,0.804
0.392,-0.68,0.836
0.353,-0.694,0.862
0.31,-0.702,0.875
0.305,-0.706,0.911
0.305,-0.702,0.909
0.311,-0.718,0.913
0.323,-0.712,0.917
0.321,-0.708,0.906
0.315,-0.696,0.907
0.302,-0.657,0.903
0.278,-0.587,0.891
0.248,-0.503,0.867
0.223,-0.427,0.852
0.213,-0.367,0.811
0.193,-0.346,0.774
0.183,-0.264,0.747
0.174,-0.234,0.718
0.171,-0.183,0.71
0.178,-0.145,0.682
0.193,-0.119,0.677
0.214,-0.104,0.675
0.231,-0.083,0.693
0.249,-0.045,0.705
0.254,0.005,0.731
0.261,0.055,0.751
0.268,0.076,0.772
0.275,0.113,0.8
0.274,0.153,0.828
0.263,0.212,0.839
0.244,0.263,0.854
0.233,0.302,0.852
0.211,0.318,0.852
0.182,0.345,0.841
0.152,0.365,0.828
0.122,0.385,0.819
0.114,0.383,0.811
0.111,0.371,0.807
0.102,0.364,0.799
0.094,0.356,0.791
0.081,0.348,0.802
0.076,0.346,0.81
0.081,0.338,0.836
0.085,0.311,0.87
0.087,0.331,0.927
0.074,0.341,0.947
0.038,0.44,0.985
-0.002,0.451,0.939
0.073,0.316,0.9
0.107,0.292,0.914
0.077,0.399,0.953
0.068,0.412,0.943
0.053,0.406,0.954
0.061,0.369,0.969
0.083,0.34,0.975
0.089,0.317,0.993
0.091,0.3,1.024
0.087,0.276,1.037
0.084,0.254,1.065
0.082,0.244,1.088
0.084,0.215,1.099
0.085,0.192,1.113
0.088,0.178,1.126
0.088,0.152,1.131
0.087,0.137,1.145
0.087,0.132,1.146
0.816,-1.511,-0.01
0.966,-1.731,0.107
1.22,-1.844,0.367
1.341,-2.081,0.693
1.22,-1.969,0.853
1.236,-1.994,0.912
1.223,-1.851,1.219
1.134,-1.668,1.659
